# Source: https://github.com/BlueSkyLT/siteselect_sg/blob/main/dataset/hdb.csv (trimmed to 5 columns)
blk_no,street,lat,lng,postal
106D,PUNGGOL FIELD,1.39762606734892,103.907358127148,824106
107,ALJUNIED CRES,1.31896465338811,103.884287246879,380107
107,ANG MO KIO AVE 4,1.37138400081003,103.837381409794,560107
107,BEDOK NTH RD,1.33231740745783,103.936301267285,460107
107,BEDOK RESERVOIR RD,1.32987028916159,103.909220387915,470107
107,BISHAN ST 12,1.34641761420969,103.847920706844,570107
107,BT PURMEI RD,1.27310165475122,103.824508572172,090107
107,BT BATOK WEST AVE 6,1.34781088479752,103.746608758355,650107
107,C'WEALTH CRES,1.30786244653945,103.799312254354,140107
107,CANBERRA ST,1.44967607732448,103.832808168458,750107
107,CLEMENTI ST 12,1.32225475067051,103.769960685492,120107
107,GANGSA RD,1.37798469700849,103.766714651133,670107
107,HOUGANG AVE 1,1.35343419106776,103.890669732271,530107
107,JLN RAJAH,1.32785332684887,103.854993724632,320107
107,JLN BT MERAH,1.27983690191197,103.824757769108,160107
107,JURONG EAST ST 13,1.33778634539959,103.738131877539,600107
107,LENGKONG TIGA,1.32495459884083,103.910175149612,410107
107,LOR 1 TOA PAYOH,1.34123358840729,103.847294021513,310107
107,PASIR RIS ST 12,1.36750966709317,103.957518917808,510107
107,POTONG PASIR AVE 1,1.33470936894148,103.86841323904,350107
107,PUNGGOL FIELD,1.39693456516886,103.907706742621,820107
107,RIVERVALE WALK,1.38300501325196,103.900272453522,540107
107,SERANGOON NTH AVE 1,1.36990039748774,103.870224885633,550107
107,SIMEI ST 1,1.3421611396727,103.950489942022,520107
107,SPOTTISWOODE PK RD,1.27359495858443,103.834917864208,080107
107,TAMPINES ST 11,1.34832915462114,103.948430663533,521107
107,TECK WHYE LANE,1.37805538148223,103.753588247554,680107
107,TOWNER RD,1.31933733566872,103.860225974926,321107
107,WOODLANDS ST 13,1.43729843225252,103.782227077422,730107
107,YISHUN RING RD,1.43221807625653,103.827520202898,760107
107A,BIDADARI PK DR,1.33477976786287,103.872399131107,341107
107A,CANBERRA ST,1.44990474622,103.832979240964,751107
107A,CLEMENTI ST 12,1.32212591757233,103.770069419212,121107
107A,C'WEALTH CRES,1.30794691790815,103.79964411758,141107
107A,EDGEFIELD PLAINS,1.39719879396476,103.906825785664,821107
107A,JLN BT MERAH,1.27986597619726,103.825525852793,161107
107A,RIVERVALE WALK,1.3832113347074,103.900083701327,541107
107B,BIDADARI PK DR,1.33437155153983,103.872117221909,342107
107B,CANBERRA ST,1.44916516333167,103.833497265983,752107
107B,EDGEFIELD PLAINS,1.39683723523598,103.907248151565,822107
107C,CANBERRA ST,1.44855782306648,103.833864786,753107
107C,EDGEFIELD PLAINS,1.39662152089139,103.907600724822,823107
107D,EDGEFIELD PLAINS,1.39623982211947,103.90800726106,824107
